sx-mathoverflow DISABLED, TWCE, None, 0, PULL, ENABLED, UNFUSED_BITMAP, BOOLMAP, 0.17905640602111816, 0.000259
youtube-groupmemberships DISABLED, TWCE, None, 0, PULL, ENABLED, UNFUSED_BITMAP, BOOLMAP, 0.18494772911071777, 0.000412
sx-stackoverflow DISABLED, VERTEX_BASED, None, 0, PULL, ENABLED, FUSED, BITMAP, 5.8516929149627686, 0.039001
dblp-cite DISABLED, VERTEX_BASED, None, 0, PULL, ENABLED, FUSED, BITMAP, 0.1993861198425293, 0.000577
dbpedia-team DISABLED, VERTEX_BASED, None, 0, PULL, ENABLED, FUSED, BITMAP, 0.292682409286499, 0.005952
dimacs9-E DISABLED, VERTEX_BASED, None, 0, PULL, ENABLED, FUSED, BITMAP, 0.4949634075164795, 0.00383
douban DISABLED, VERTEX_BASED, None, 0, PULL, ENABLED, FUSED, BITMAP, 0.19001507759094238, 0.000344
facebook-wosn-wall DISABLED, VERTEX_BASED, None, 0, PULL, ENABLED, FUSED, BITMAP, 0.1699528694152832, 0.000583
github DISABLED, VERTEX_BASED, None, 0, PULL, ENABLED, FUSED, BITMAP, 0.22578859329223633, 0.003922
komarix-imdb DISABLED, VERTEX_BASED, None, 0, PULL, ENABLED, FUSED, BITMAP, 0.3348226547241211, 0.002714
moreno_blogs DISABLED, VERTEX_BASED, None, 0, PULL, ENABLED, FUSED, BITMAP, 0.1689596176147461, 0.000527
opsahl-usairport DISABLED, VERTEX_BASED, None, 0, PULL, ENABLED, FUSED, BITMAP, 0.17298102378845215, 0.000479
patentcite DISABLED, VERTEX_BASED, None, 0, PULL, ENABLED, FUSED, BITMAP, 2.4815096855163574, 0.007614
petster-friendships-dog DISABLED, VERTEX_BASED, None, 0, PULL, ENABLED, FUSED, BITMAP, 1.1849944591522217, 0.062289
roadNet-CA DISABLED, VERTEX_BASED, None, 0, PULL, ENABLED, FUSED, BITMAP, 0.32881593704223633, 0.002268
subelj_cora DISABLED, VERTEX_BASED, None, 0, PULL, ENABLED, FUSED, BITMAP, 0.1771550178527832, 0.000836
sx-mathoverflow DISABLED, VERTEX_BASED, None, 0, PULL, ENABLED, FUSED, BITMAP, 0.1860344409942627, 0.001376
youtube-groupmemberships DISABLED, VERTEX_BASED, None, 0, PULL, ENABLED, FUSED, BITMAP, 0.2803184986114502, 0.009879
sx-stackoverflow DISABLED, EDGE_ONLY, ENABLED, 10, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 1.1349267959594727, 0.003608
dblp-cite DISABLED, EDGE_ONLY, ENABLED, 10, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.20065665245056152, 0.000278
dbpedia-team DISABLED, EDGE_ONLY, ENABLED, 10, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.2621331214904785, 0.000522
dimacs9-E DISABLED, EDGE_ONLY, ENABLED, 10, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.5120596885681152, 0.003935
douban DISABLED, EDGE_ONLY, ENABLED, 10, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.21579599380493164, 0.000208
facebook-wosn-wall DISABLED, EDGE_ONLY, ENABLED, 10, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.21866607666015625, 0.00031
github DISABLED, EDGE_ONLY, ENABLED, 10, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.23349952697753906, 0.000234
komarix-imdb DISABLED, EDGE_ONLY, ENABLED, 10, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.2894759178161621, 0.000383
moreno_blogs DISABLED, EDGE_ONLY, ENABLED, 10, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.1979217529296875, 0.000254
opsahl-usairport DISABLED, EDGE_ONLY, ENABLED, 10, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.20074033737182617, 0.000249
patentcite DISABLED, EDGE_ONLY, ENABLED, 10, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.693049430847168, 0.002894
petster-friendships-dog DISABLED, EDGE_ONLY, ENABLED, 10, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.438340425491333, 0.000871
roadNet-CA DISABLED, EDGE_ONLY, ENABLED, 10, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.3211843967437744, 0.001877
subelj_cora DISABLED, EDGE_ONLY, ENABLED, 10, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.21628570556640625, 0.000273
sx-mathoverflow DISABLED, EDGE_ONLY, ENABLED, 10, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.205610990524292, 0.000271
youtube-groupmemberships DISABLED, EDGE_ONLY, ENABLED, 10, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.21445035934448242, 0.000212
