github ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 0.8503291606903076, 0.003973
komarix-imdb ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 0.9133412837982178, 0.004157
moreno_blogs ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 0.40627050399780273, 0.001154
opsahl-usairport ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 0.5552594661712646, 0.001522
patentcite ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 3.429748058319092, 0.029028
petster-friendships-dog ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 3.126129150390625, 0.208049
roadNet-CA ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 0.8254468441009521, 0.004111
subelj_cora ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 0.6150810718536377, 0.000755
sx-mathoverflow ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 0.8229861259460449, 0.001664
youtube-groupmemberships ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 1.0296931266784668, 0.009004
sx-stackoverflow DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 6.85429310798645, 0.05637
dblp-cite DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 0.41911745071411133, 0.000713
dbpedia-team DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 0.934654951095581, 0.034412
dimacs9-E DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 0.9047482013702393, 0.008471
douban DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 0.51780104637146, 0.000772
facebook-wosn-wall DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 0.37067198753356934, 0.000652
github DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 0.5475602149963379, 0.005193
komarix-imdb DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 0.7168571949005127, 0.003975
moreno_blogs DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 0.5285849571228027, 0.001131
opsahl-usairport DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 0.37561750411987305, 0.00149
patentcite DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 3.3085415363311768, 0.028526
petster-friendships-dog DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 3.0684142112731934, 0.213102
roadNet-CA DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 0.7146406173706055, 0.00407
subelj_cora DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 0.5300586223602295, 0.000633
sx-mathoverflow DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 0.36975646018981934, 0.001681
youtube-groupmemberships DISABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 0.7964274883270264, 0.009023
sx-stackoverflow ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 6.587971448898315, 0.048599
dblp-cite ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.4624450206756592, 0.000715
dbpedia-team ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.8903536796569824, 0.026933
dimacs9-E ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.8585717678070068, 0.008924
douban ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.4697282314300537, 0.000771
facebook-wosn-wall ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.32677316665649414, 0.000645
github ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.5678317546844482, 0.004447
komarix-imdb ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.7081067562103271, 0.003981
moreno_blogs ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.36132121086120605, 0.00115
opsahl-usairport ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.41704750061035156, 0.001491
patentcite ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 3.163879156112671, 0.031311
petster-friendships-dog ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 3.037073850631714, 0.210963
roadNet-CA ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.708348274230957, 0.004022
subelj_cora ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.5194227695465088, 0.000642
sx-mathoverflow ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.5543262958526611, 0.001679
youtube-groupmemberships ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.782618522644043, 0.009804
sx-stackoverflow ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, ENABLED, FUSED, None, 1.936708927154541, 0.034639
