opsahl-usairport ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 0.323458194732666, 0.001439
patentcite ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 2.7945871353149414, 0.00087
petster-friendships-dog ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 1.00675630569458, 0.003427
roadNet-CA ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 0.6158950328826904, 0.00019
subelj_cora ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 0.4129455089569092, 0.000852
sx-mathoverflow ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 0.5656704902648926, 0.000969
youtube-groupmemberships ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 0.5033934116363525, 0.000651
sx-stackoverflow ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 6.563663959503174, 0.035861
dblp-cite ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.30869150161743164, 0.000681
dbpedia-team ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.5130934715270996, 0.000625
dimacs9-E ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 12.969829082489014, 1.19515
douban ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.4772005081176758, 0.002584
facebook-wosn-wall ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.36846137046813965, 0.000681
github ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.426624059677124, 0.004848
komarix-imdb ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.476820707321167, 0.001479
moreno_blogs ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.32634401321411133, 0.001028
opsahl-usairport ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.35857200622558594, 0.001434
patentcite ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 2.7750701904296875, 0.001435
petster-friendships-dog ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.8197803497314453, 0.004326
