moreno_blogs DensePull, serial, boolean-array, false, 16, 0.03477597236633301
opsahl-usairport DensePull, serial, boolean-array, false, 16, 0.0207517147064209
patentcite DensePull, serial, boolean-array, false, 16, 1.693701982498169
petster-friendships-dog DensePull, serial, boolean-array, false, 16, 0.23170065879821777
roadNet-CA DensePull, serial, boolean-array, false, 16, 0.14775490760803223
subelj_cora DensePull, serial, boolean-array, false, 16, 0.05400681495666504
sx-mathoverflow DensePull, serial, boolean-array, false, 16, 0.22034215927124023
youtube-groupmemberships DensePull, serial, boolean-array, false, 16, 0.062424421310424805
sx-stackoverflow DensePull, serial, boolean-array, false, 18, 1.914029598236084
dblp-cite DensePull, serial, boolean-array, false, 18, 0.036086082458496094
dbpedia-team DensePull, serial, boolean-array, false, 18, 0.20837140083312988
dimacs9-E DensePull, serial, boolean-array, false, 18, 154.38616180419922
douban DensePull, serial, boolean-array, false, 18, 0.058565378189086914
facebook-wosn-wall DensePull, serial, boolean-array, false, 18, 0.06099557876586914
github DensePull, serial, boolean-array, false, 18, 0.06536173820495605
komarix-imdb DensePull, serial, boolean-array, false, 18, 0.4326016902923584
moreno_blogs DensePull, serial, boolean-array, false, 18, 0.031164884567260742
opsahl-usairport DensePull, serial, boolean-array, false, 18, 0.07868552207946777
patentcite DensePull, serial, boolean-array, false, 18, 1.7359285354614258
petster-friendships-dog DensePull, serial, boolean-array, false, 18, 0.18928074836730957
roadNet-CA DensePull, serial, boolean-array, false, 18, 0.17832326889038086
subelj_cora DensePull, serial, boolean-array, false, 18, 0.06880593299865723
sx-mathoverflow DensePull, serial, boolean-array, false, 18, 0.04627656936645508
youtube-groupmemberships DensePull, serial, boolean-array, false, 18, 0.06000661849975586
sx-stackoverflow DensePull, serial, boolean-array, false, 20, 2.051877737045288
dblp-cite DensePull, serial, boolean-array, false, 20, 0.027770280838012695
dbpedia-team DensePull, serial, boolean-array, false, 20, 0.09934234619140625
dimacs9-E DensePull, serial, boolean-array, false, 20, 156.71546244621277
douban DensePull, serial, boolean-array, false, 20, 0.06000542640686035
facebook-wosn-wall DensePull, serial, boolean-array, false, 20, 0.04954409599304199
github DensePull, serial, boolean-array, false, 20, 0.0863497257232666
komarix-imdb DensePull, serial, boolean-array, false, 20, 0.44501519203186035
moreno_blogs DensePull, serial, boolean-array, false, 20, 0.045926570892333984
