github DensePull-SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 0.3930187225341797
komarix-imdb DensePull-SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 0.42549633979797363
moreno_blogs DensePull-SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 0.3230319023132324
opsahl-usairport DensePull-SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 0.03252267837524414
patentcite DensePull-SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 3.1835858821868896
petster-friendships-dog DensePull-SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 1.7285499572753906
roadNet-CA DensePull-SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 0.5412638187408447
subelj_cora DensePull-SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 0.06326580047607422
sx-mathoverflow DensePull-SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 0.15674376487731934
youtube-groupmemberships DensePull-SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 0.3700547218322754
sx-stackoverflow DensePull-SparsePush, dynamic-vertex-parallel, bitvector, false, 0, 10.10459280014038
dblp-cite DensePull-SparsePush, dynamic-vertex-parallel, bitvector, false, 0, 0.05486035346984863
dbpedia-team DensePull-SparsePush, dynamic-vertex-parallel, bitvector, false, 0, 0.33875083923339844
dimacs9-E DensePull-SparsePush, dynamic-vertex-parallel, bitvector, false, 0, 2.3769078254699707
douban DensePull-SparsePush, dynamic-vertex-parallel, bitvector, false, 0, 0.10309481620788574
facebook-wosn-wall DensePull-SparsePush, dynamic-vertex-parallel, bitvector, false, 0, 0.2648444175720215
github DensePull-SparsePush, dynamic-vertex-parallel, bitvector, false, 0, 0.13279247283935547
komarix-imdb DensePull-SparsePush, dynamic-vertex-parallel, bitvector, false, 0, 0.7312276363372803
moreno_blogs DensePull-SparsePush, dynamic-vertex-parallel, bitvector, false, 0, 0.03166675567626953
opsahl-usairport DensePull-SparsePush, dynamic-vertex-parallel, bitvector, false, 0, 0.04674077033996582
patentcite DensePull-SparsePush, dynamic-vertex-parallel, bitvector, false, 0, 3.3122029304504395
petster-friendships-dog DensePull-SparsePush, dynamic-vertex-parallel, bitvector, false, 0, 1.6619317531585693
roadNet-CA DensePull-SparsePush, dynamic-vertex-parallel, bitvector, false, 0, 0.5606765747070312
subelj_cora DensePull-SparsePush, dynamic-vertex-parallel, bitvector, false, 0, 0.19329118728637695
sx-mathoverflow DensePull-SparsePush, dynamic-vertex-parallel, bitvector, false, 0, 0.15047121047973633
youtube-groupmemberships DensePull-SparsePush, dynamic-vertex-parallel, bitvector, false, 0, 0.3214709758758545
sx-stackoverflow DensePull-SparsePush, static-vertex-parallel, boolean-array, false, 0, 9.55559754371643
dblp-cite DensePull-SparsePush, static-vertex-parallel, boolean-array, false, 0, 0.7394399642944336
dbpedia-team DensePull-SparsePush, static-vertex-parallel, boolean-array, false, 0, 0.620901346206665
dimacs9-E DensePull-SparsePush, static-vertex-parallel, boolean-array, false, 0, 2.3264989852905273
douban DensePull-SparsePush, static-vertex-parallel, boolean-array, false, 0, 0.552168607711792
facebook-wosn-wall DensePull-SparsePush, static-vertex-parallel, boolean-array, false, 0, 0.5546548366546631
github DensePull-SparsePush, static-vertex-parallel, boolean-array, false, 0, 0.9963045120239258
komarix-imdb DensePull-SparsePush, static-vertex-parallel, boolean-array, false, 0, 1.0424368381500244
moreno_blogs DensePull-SparsePush, static-vertex-parallel, boolean-array, false, 0, 0.9150981903076172
opsahl-usairport DensePull-SparsePush, static-vertex-parallel, boolean-array, false, 0, 0.854236364364624
patentcite DensePull-SparsePush, static-vertex-parallel, boolean-array, false, 0, 2.8898801803588867
petster-friendships-dog DensePull-SparsePush, static-vertex-parallel, boolean-array, false, 0, 1.9393064975738525
roadNet-CA DensePull-SparsePush, static-vertex-parallel, boolean-array, false, 0, 0.9400031566619873
subelj_cora DensePull-SparsePush, static-vertex-parallel, boolean-array, false, 0, 1.5395102500915527
sx-mathoverflow DensePull-SparsePush, static-vertex-parallel, boolean-array, false, 0, 0.5298614501953125
youtube-groupmemberships DensePull-SparsePush, static-vertex-parallel, boolean-array, false, 0, 0.684504508972168
sx-stackoverflow DensePull-SparsePush, static-vertex-parallel, bitvector, false, 0, 9.510222673416138
dblp-cite DensePull-SparsePush, static-vertex-parallel, bitvector, false, 0, 0.2017965316772461
dbpedia-team DensePull-SparsePush, static-vertex-parallel, bitvector, false, 0, 0.3409738540649414
dimacs9-E DensePull-SparsePush, static-vertex-parallel, bitvector, false, 0, 2.3132987022399902
douban DensePull-SparsePush, static-vertex-parallel, bitvector, false, 0, 0.10233449935913086
facebook-wosn-wall DensePull-SparsePush, static-vertex-parallel, bitvector, false, 0, 0.7742292881011963
github DensePull-SparsePush, static-vertex-parallel, bitvector, false, 0, 0.1291658878326416
komarix-imdb DensePull-SparsePush, static-vertex-parallel, bitvector, false, 0, 0.5218033790588379
moreno_blogs DensePull-SparsePush, static-vertex-parallel, bitvector, false, 0, 0.04142045974731445
opsahl-usairport DensePull-SparsePush, static-vertex-parallel, bitvector, false, 0, 0.043248891830444336
patentcite DensePull-SparsePush, static-vertex-parallel, bitvector, false, 0, 2.65749192237854
petster-friendships-dog DensePull-SparsePush, static-vertex-parallel, bitvector, false, 0, 1.8105039596557617
roadNet-CA DensePull-SparsePush, static-vertex-parallel, bitvector, false, 0, 0.5397074222564697
subelj_cora DensePull-SparsePush, static-vertex-parallel, bitvector, false, 0, 0.050119876861572266
sx-mathoverflow DensePull-SparsePush, static-vertex-parallel, bitvector, false, 0, 0.4697294235229492
youtube-groupmemberships DensePull-SparsePush, static-vertex-parallel, bitvector, false, 0, 0.0983726978302002
sx-stackoverflow DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 9.685181856155396
dblp-cite DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 0.04365134239196777
dbpedia-team DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 0.3368985652923584
dimacs9-E DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 8.094791173934937
douban DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 0.10741305351257324
facebook-wosn-wall DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 0.19820761680603027
github DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 0.1358351707458496
komarix-imdb DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 1.7480154037475586
moreno_blogs DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 0.029360532760620117
opsahl-usairport DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 0.03164052963256836
patentcite DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 2.695298194885254
petster-friendships-dog DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 1.591832160949707
roadNet-CA DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 0.5794942378997803
subelj_cora DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 0.05623435974121094
sx-mathoverflow DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 0.13456225395202637
youtube-groupmemberships DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, boolean-array, false, 0, 0.3398854732513428
sx-stackoverflow DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 10.357083320617676
dblp-cite DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 1.4086039066314697
dbpedia-team DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 0.35439085960388184
dimacs9-E DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 1.9800975322723389
douban DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 0.3371856212615967
facebook-wosn-wall DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 0.19152331352233887
github DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 0.3964545726776123
komarix-imdb DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 0.5460805892944336
moreno_blogs DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 0.03738689422607422
opsahl-usairport DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 0.05216717720031738
patentcite DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 3.2198591232299805
petster-friendships-dog DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 1.593682050704956
roadNet-CA DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 0.7359559535980225
subelj_cora DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 0.07254958152770996
sx-mathoverflow DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 1.1383626461029053
youtube-groupmemberships DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 0.14022397994995117
sx-stackoverflow SparsePush-DensePull, serial, boolean-array, false, 0, 15.076744556427002
dblp-cite SparsePush-DensePull, serial, boolean-array, false, 0, 0.02753448486328125
