TrainEpoch:  2 , Graph:  ['youtube-groupmemberships'] , Schedule:  0 , TrainLoss:  0.9698432087898254
TrainEpoch:  2 , Graph:  ['youtube-groupmemberships'] , Schedule:  1 , TrainLoss:  0.9115399718284607
TrainEpoch:  2 , Graph:  ['youtube-groupmemberships'] , Schedule:  2 , TrainLoss:  0.9599896669387817
TrainEpoch:  2 , Graph:  ['youtube-groupmemberships'] , Schedule:  3 , TrainLoss:  0.8237816691398621
ValidEpoch:  2 , Graph:  ['youtube-groupmemberships'] , Schedule :  0 , ValidLoss:  0.9274693727493286
TrainEpoch:  2 , Graph:  ['facebook-wosn-wall'] , Schedule:  0 , TrainLoss:  0.9659203886985779
TrainEpoch:  2 , Graph:  ['facebook-wosn-wall'] , Schedule:  1 , TrainLoss:  0.9657905101776123
TrainEpoch:  2 , Graph:  ['facebook-wosn-wall'] , Schedule:  2 , TrainLoss:  0.9216145873069763
TrainEpoch:  2 , Graph:  ['facebook-wosn-wall'] , Schedule:  3 , TrainLoss:  1.0629223585128784
ValidEpoch:  2 , Graph:  ['facebook-wosn-wall'] , Schedule :  0 , ValidLoss:  0.957050621509552
TrainEpoch:  2 , Graph:  ['patentcite'] , Schedule:  0 , TrainLoss:  0.8316807150840759
TrainEpoch:  2 , Graph:  ['patentcite'] , Schedule:  1 , TrainLoss:  0.9068419337272644
TrainEpoch:  2 , Graph:  ['patentcite'] , Schedule:  2 , TrainLoss:  0.8744869232177734
TrainEpoch:  2 , Graph:  ['patentcite'] , Schedule:  3 , TrainLoss:  0.904559314250946
ValidEpoch:  2 , Graph:  ['patentcite'] , Schedule :  0 , ValidLoss:  0.893015444278717
TrainEpoch:  2 , Graph:  ['komarix-imdb'] , Schedule:  0 , TrainLoss:  0.9368095993995667
TrainEpoch:  2 , Graph:  ['komarix-imdb'] , Schedule:  1 , TrainLoss:  0.9232488870620728
TrainEpoch:  2 , Graph:  ['komarix-imdb'] , Schedule:  2 , TrainLoss:  0.9564106464385986
TrainEpoch:  2 , Graph:  ['komarix-imdb'] , Schedule:  3 , TrainLoss:  0.7037762999534607
ValidEpoch:  2 , Graph:  ['komarix-imdb'] , Schedule :  0 , ValidLoss:  0.8903152346611023
TrainEpoch:  2 , Graph:  ['sx-stackoverflow'] , Schedule:  0 , TrainLoss:  0.9185674786567688
TrainEpoch:  2 , Graph:  ['sx-stackoverflow'] , Schedule:  1 , TrainLoss:  0.9292494058609009
TrainEpoch:  2 , Graph:  ['sx-stackoverflow'] , Schedule:  2 , TrainLoss:  0.9207775592803955
TrainEpoch:  2 , Graph:  ['sx-stackoverflow'] , Schedule:  3 , TrainLoss:  0.7402109503746033
ValidEpoch:  2 , Graph:  ['sx-stackoverflow'] , Schedule :  0 , ValidLoss:  0.9026668667793274
TrainEpoch:  2 , Graph:  ['moreno_blogs'] , Schedule:  0 , TrainLoss:  1.0534588098526
TrainEpoch:  2 , Graph:  ['moreno_blogs'] , Schedule:  1 , TrainLoss:  0.9958051443099976
TrainEpoch:  2 , Graph:  ['moreno_blogs'] , Schedule:  2 , TrainLoss:  1.0309430360794067
TrainEpoch:  2 , Graph:  ['moreno_blogs'] , Schedule:  3 , TrainLoss:  1.1405363082885742
ValidEpoch:  2 , Graph:  ['moreno_blogs'] , Schedule :  0 , ValidLoss:  1.0805630683898926
TrainEpoch:  2 , Graph:  ['dimacs9-E'] , Schedule:  0 , TrainLoss:  0.8188818693161011
TrainEpoch:  2 , Graph:  ['dimacs9-E'] , Schedule:  1 , TrainLoss:  0.9006747603416443
TrainEpoch:  2 , Graph:  ['dimacs9-E'] , Schedule:  2 , TrainLoss:  0.8512881398200989
TrainEpoch:  2 , Graph:  ['dimacs9-E'] , Schedule:  3 , TrainLoss:  1.1195881366729736
ValidEpoch:  2 , Graph:  ['dimacs9-E'] , Schedule :  0 , ValidLoss:  0.8471749424934387
TrainEpoch:  2 , Graph:  ['opsahl-usairport'] , Schedule:  0 , TrainLoss:  1.0020533800125122
TrainEpoch:  2 , Graph:  ['opsahl-usairport'] , Schedule:  1 , TrainLoss:  0.9780896902084351
TrainEpoch:  2 , Graph:  ['opsahl-usairport'] , Schedule:  2 , TrainLoss:  0.9522899389266968
TrainEpoch:  2 , Graph:  ['opsahl-usairport'] , Schedule:  3 , TrainLoss:  1.0368751287460327
ValidEpoch:  2 , Graph:  ['opsahl-usairport'] , Schedule :  0 , ValidLoss:  0.8648828268051147
TrainEpoch:  2 , Graph:  ['petster-friendships-dog'] , Schedule:  0 , TrainLoss:  0.9013029336929321
TrainEpoch:  2 , Graph:  ['petster-friendships-dog'] , Schedule:  1 , TrainLoss:  0.9100539088249207
TrainEpoch:  2 , Graph:  ['petster-friendships-dog'] , Schedule:  2 , TrainLoss:  0.8312249779701233
TrainEpoch:  2 , Graph:  ['petster-friendships-dog'] , Schedule:  3 , TrainLoss:  0.8921757936477661
ValidEpoch:  2 , Graph:  ['petster-friendships-dog'] , Schedule :  0 , ValidLoss:  0.8445637226104736
TrainEpoch:  2 , Graph:  ['subelj_cora'] , Schedule:  0 , TrainLoss:  0.9703207015991211
TrainEpoch:  2 , Graph:  ['subelj_cora'] , Schedule:  1 , TrainLoss:  0.8443732261657715
TrainEpoch:  2 , Graph:  ['subelj_cora'] , Schedule:  2 , TrainLoss:  0.9293946027755737
TrainEpoch:  2 , Graph:  ['subelj_cora'] , Schedule:  3 , TrainLoss:  1.0278725624084473
ValidEpoch:  2 , Graph:  ['subelj_cora'] , Schedule :  0 , ValidLoss:  0.7542369961738586
TrainEpoch:  2 , Graph:  ['roadNet-CA'] , Schedule:  0 , TrainLoss:  0.9176620841026306
TrainEpoch:  2 , Graph:  ['roadNet-CA'] , Schedule:  1 , TrainLoss:  0.9282321333885193
TrainEpoch:  2 , Graph:  ['roadNet-CA'] , Schedule:  2 , TrainLoss:  0.9334558844566345
TrainEpoch:  2 , Graph:  ['roadNet-CA'] , Schedule:  3 , TrainLoss:  1.266657829284668
ValidEpoch:  2 , Graph:  ['roadNet-CA'] , Schedule :  0 , ValidLoss:  1.1168543100357056
TrainEpoch:  2 , Graph:  ['github'] , Schedule:  0 , TrainLoss:  0.8908954858779907
TrainEpoch:  2 , Graph:  ['github'] , Schedule:  1 , TrainLoss:  0.8831866979598999
TrainEpoch:  2 , Graph:  ['github'] , Schedule:  2 , TrainLoss:  0.7707766890525818
TrainEpoch:  2 , Graph:  ['github'] , Schedule:  3 , TrainLoss:  0.8782910108566284
ValidEpoch:  2 , Graph:  ['github'] , Schedule :  0 , ValidLoss:  0.8069196939468384
TrainEpoch:  2 , Graph:  ['sx-mathoverflow'] , Schedule:  0 , TrainLoss:  0.9519922733306885
TrainEpoch:  2 , Graph:  ['sx-mathoverflow'] , Schedule:  1 , TrainLoss:  0.9146621823310852
TrainEpoch:  2 , Graph:  ['sx-mathoverflow'] , Schedule:  2 , TrainLoss:  0.8282114863395691
TrainEpoch:  2 , Graph:  ['sx-mathoverflow'] , Schedule:  3 , TrainLoss:  0.7198023796081543
ValidEpoch:  2 , Graph:  ['sx-mathoverflow'] , Schedule :  0 , ValidLoss:  0.9694631695747375
TrainEpoch:  2 , Graph:  ['douban'] , Schedule:  0 , TrainLoss:  0.9030929803848267
TrainEpoch:  2 , Graph:  ['douban'] , Schedule:  1 , TrainLoss:  0.9152701497077942
TrainEpoch:  2 , Graph:  ['douban'] , Schedule:  2 , TrainLoss:  0.7637704014778137
TrainEpoch:  2 , Graph:  ['douban'] , Schedule:  3 , TrainLoss:  0.7811962962150574
ValidEpoch:  2 , Graph:  ['douban'] , Schedule :  0 , ValidLoss:  0.7646918892860413
TrainEpoch:  2 , Graph:  ['dbpedia-team'] , Schedule:  0 , TrainLoss:  0.8199028968811035
TrainEpoch:  2 , Graph:  ['dbpedia-team'] , Schedule:  1 , TrainLoss:  1.0528239011764526
TrainEpoch:  2 , Graph:  ['dbpedia-team'] , Schedule:  2 , TrainLoss:  0.8208961486816406
TrainEpoch:  2 , Graph:  ['dbpedia-team'] , Schedule:  3 , TrainLoss:  0.8360811471939087
ValidEpoch:  2 , Graph:  ['dbpedia-team'] , Schedule :  0 , ValidLoss:  0.9036514759063721
TrainEpoch:  2 , Graph:  ['dblp-cite'] , Schedule:  0 , TrainLoss:  0.8930251598358154
TrainEpoch:  2 , Graph:  ['dblp-cite'] , Schedule:  1 , TrainLoss:  0.8974044322967529
