TrainEpoch:  2 , Graph:  ['sx-stackoverflow'] , Schedule:  1 , TrainLoss:  0.7778879404067993
TrainEpoch:  2 , Graph:  ['sx-stackoverflow'] , Schedule:  2 , TrainLoss:  0.7403992414474487
TrainEpoch:  2 , Graph:  ['sx-stackoverflow'] , Schedule:  3 , TrainLoss:  0.7670564651489258
ValidEpoch:  2 , Graph:  ['sx-stackoverflow'] , Schedule :  0 , ValidLoss:  0.7348598837852478
TrainEpoch:  2 , Graph:  ['komarix-imdb'] , Schedule:  0 , TrainLoss:  0.7318252325057983
TrainEpoch:  2 , Graph:  ['komarix-imdb'] , Schedule:  1 , TrainLoss:  0.8852432370185852
TrainEpoch:  2 , Graph:  ['komarix-imdb'] , Schedule:  2 , TrainLoss:  0.8470249176025391
TrainEpoch:  2 , Graph:  ['komarix-imdb'] , Schedule:  3 , TrainLoss:  0.596735417842865
ValidEpoch:  2 , Graph:  ['komarix-imdb'] , Schedule :  0 , ValidLoss:  0.722477376461029
TrainEpoch:  2 , Graph:  ['github'] , Schedule:  0 , TrainLoss:  0.8305160403251648
TrainEpoch:  2 , Graph:  ['github'] , Schedule:  1 , TrainLoss:  0.7125540375709534
TrainEpoch:  2 , Graph:  ['github'] , Schedule:  2 , TrainLoss:  0.6092243194580078
TrainEpoch:  2 , Graph:  ['github'] , Schedule:  3 , TrainLoss:  0.4485936164855957
ValidEpoch:  2 , Graph:  ['github'] , Schedule :  0 , ValidLoss:  0.658176064491272
TrainEpoch:  2 , Graph:  ['moreno_blogs'] , Schedule:  0 , TrainLoss:  0.7449096441268921
TrainEpoch:  2 , Graph:  ['moreno_blogs'] , Schedule:  1 , TrainLoss:  0.666983425617218
TrainEpoch:  2 , Graph:  ['moreno_blogs'] , Schedule:  2 , TrainLoss:  0.7516300678253174
TrainEpoch:  2 , Graph:  ['moreno_blogs'] , Schedule:  3 , TrainLoss:  0.5264832973480225
ValidEpoch:  2 , Graph:  ['moreno_blogs'] , Schedule :  0 , ValidLoss:  0.9190822243690491
TrainEpoch:  2 , Graph:  ['dimacs9-E'] , Schedule:  0 , TrainLoss:  0.4844565689563751
TrainEpoch:  2 , Graph:  ['dimacs9-E'] , Schedule:  1 , TrainLoss:  0.30958881974220276
TrainEpoch:  2 , Graph:  ['dimacs9-E'] , Schedule:  2 , TrainLoss:  0.47249647974967957
TrainEpoch:  2 , Graph:  ['dimacs9-E'] , Schedule:  3 , TrainLoss:  0.4475085437297821
ValidEpoch:  2 , Graph:  ['dimacs9-E'] , Schedule :  0 , ValidLoss:  0.3232888877391815
TrainEpoch:  2 , Graph:  ['roadNet-CA'] , Schedule:  0 , TrainLoss:  0.7621333003044128
TrainEpoch:  2 , Graph:  ['roadNet-CA'] , Schedule:  1 , TrainLoss:  0.5938290953636169
TrainEpoch:  2 , Graph:  ['roadNet-CA'] , Schedule:  2 , TrainLoss:  0.6007139682769775
TrainEpoch:  2 , Graph:  ['roadNet-CA'] , Schedule:  3 , TrainLoss:  0.46808141469955444
ValidEpoch:  2 , Graph:  ['roadNet-CA'] , Schedule :  0 , ValidLoss:  0.5365867018699646
TrainEpoch:  2 , Graph:  ['dbpedia-team'] , Schedule:  0 , TrainLoss:  0.7387736439704895
TrainEpoch:  2 , Graph:  ['dbpedia-team'] , Schedule:  1 , TrainLoss:  0.6261985898017883
TrainEpoch:  2 , Graph:  ['dbpedia-team'] , Schedule:  2 , TrainLoss:  0.6923069953918457
TrainEpoch:  2 , Graph:  ['dbpedia-team'] , Schedule:  3 , TrainLoss:  0.8942670226097107
ValidEpoch:  2 , Graph:  ['dbpedia-team'] , Schedule :  0 , ValidLoss:  0.7320203185081482
--- Epoch 2 : Train 0.7094963290728629 Valid 0.6878875400871038 ---
save over.
TrainEpoch:  3 , Graph:  ['sx-mathoverflow'] , Schedule:  0 , TrainLoss:  0.948777437210083
TrainEpoch:  3 , Graph:  ['sx-mathoverflow'] , Schedule:  1 , TrainLoss:  0.8130184412002563
TrainEpoch:  3 , Graph:  ['sx-mathoverflow'] , Schedule:  2 , TrainLoss:  0.7139971256256104
TrainEpoch:  3 , Graph:  ['sx-mathoverflow'] , Schedule:  3 , TrainLoss:  0.3650505542755127
ValidEpoch:  3 , Graph:  ['sx-mathoverflow'] , Schedule :  0 , ValidLoss:  0.6921642422676086
TrainEpoch:  3 , Graph:  ['petster-friendships-dog'] , Schedule:  0 , TrainLoss:  0.8389257192611694
TrainEpoch:  3 , Graph:  ['petster-friendships-dog'] , Schedule:  1 , TrainLoss:  0.7411739230155945
TrainEpoch:  3 , Graph:  ['petster-friendships-dog'] , Schedule:  2 , TrainLoss:  0.7956644296646118
TrainEpoch:  3 , Graph:  ['petster-friendships-dog'] , Schedule:  3 , TrainLoss:  0.5027487277984619
ValidEpoch:  3 , Graph:  ['petster-friendships-dog'] , Schedule :  0 , ValidLoss:  0.8007228374481201
TrainEpoch:  3 , Graph:  ['dbpedia-team'] , Schedule:  0 , TrainLoss:  0.730086624622345
TrainEpoch:  3 , Graph:  ['dbpedia-team'] , Schedule:  1 , TrainLoss:  0.6989254951477051
TrainEpoch:  3 , Graph:  ['dbpedia-team'] , Schedule:  2 , TrainLoss:  0.6862488985061646
