roadNet-CA DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, bitvector, false, 5, 0.36336302757263184, 0.02455
youtube-u-growth SparsePush-DensePull, serial, boolean-array, false, 5, 1.234168529510498, 0.082292
dblp_coauthor SparsePush-DensePull, serial, boolean-array, false, 5, 3.884730815887451, 0.133921
soc-LiveJournal1 SparsePush-DensePull, serial, boolean-array, false, 5, 9.29343295097351, 0.546261
orkut-links SparsePush-DensePull, serial, boolean-array, false, 5, 14.808556318283081, 0.724236
roadNet-CA SparsePush-DensePull, serial, boolean-array, false, 5, 0.3588275909423828, 0.020014
youtube-u-growth SparsePush-DensePull, serial, bitvector, false, 5, 1.2268316745758057, 0.080044
dblp_coauthor SparsePush-DensePull, serial, bitvector, false, 5, 3.886193037033081, 0.131377
soc-LiveJournal1 SparsePush-DensePull, serial, bitvector, false, 5, 9.341005563735962, 0.543739
orkut-links SparsePush-DensePull, serial, bitvector, false, 5, 14.833800554275513, 0.737102
roadNet-CA SparsePush-DensePull, serial, bitvector, false, 5, 0.3591465950012207, 0.021093
youtube-u-growth SparsePush-DensePull, dynamic-vertex-parallel, boolean-array, false, 5, 1.175187110900879, 0.019254
dblp_coauthor SparsePush-DensePull, dynamic-vertex-parallel, boolean-array, false, 5, 3.775303363800049, 0.036205
soc-LiveJournal1 SparsePush-DensePull, dynamic-vertex-parallel, boolean-array, false, 5, 8.978184700012207, 0.232537
orkut-links SparsePush-DensePull, dynamic-vertex-parallel, boolean-array, false, 5, 14.186316967010498, 0.155446
roadNet-CA SparsePush-DensePull, dynamic-vertex-parallel, boolean-array, false, 5, 0.3443448543548584, 0.005462
youtube-u-growth SparsePush-DensePull, dynamic-vertex-parallel, bitvector, false, 5, 1.1753120422363281, 0.017625
dblp_coauthor SparsePush-DensePull, dynamic-vertex-parallel, bitvector, false, 5, 3.780468702316284, 0.029084
soc-LiveJournal1 SparsePush-DensePull, dynamic-vertex-parallel, bitvector, false, 5, 8.936755657196045, 0.147711
orkut-links SparsePush-DensePull, dynamic-vertex-parallel, bitvector, false, 5, 14.25924015045166, 0.112624
roadNet-CA SparsePush-DensePull, dynamic-vertex-parallel, bitvector, false, 5, 0.34456825256347656, 0.006065
youtube-u-growth SparsePush-DensePull, static-vertex-parallel, boolean-array, false, 5, 1.1776466369628906, 0.019419
dblp_coauthor SparsePush-DensePull, static-vertex-parallel, boolean-array, false, 5, 3.775280237197876, 0.035883
soc-LiveJournal1 SparsePush-DensePull, static-vertex-parallel, boolean-array, false, 5, 8.987733840942383, 0.221103
orkut-links SparsePush-DensePull, static-vertex-parallel, boolean-array, false, 5, 14.289324760437012, 0.157185
roadNet-CA SparsePush-DensePull, static-vertex-parallel, boolean-array, false, 5, 0.34471797943115234, 0.005367
youtube-u-growth SparsePush-DensePull, static-vertex-parallel, bitvector, false, 5, 1.1751823425292969, 0.017377
dblp_coauthor SparsePush-DensePull, static-vertex-parallel, bitvector, false, 5, 3.770080089569092, 0.028734
soc-LiveJournal1 SparsePush-DensePull, static-vertex-parallel, bitvector, false, 5, 8.949483633041382, 0.145878
orkut-links SparsePush-DensePull, static-vertex-parallel, bitvector, false, 5, 14.172186613082886, 0.109458
roadNet-CA SparsePush-DensePull, static-vertex-parallel, bitvector, false, 5, 0.3439209461212158, 0.006211
youtube-u-growth SparsePush-DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, false, 5, 1.2518820762634277, 0.091987
dblp_coauthor SparsePush-DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, false, 5, 3.870009183883667, 0.127217
