orkut-links ENABLED, WM, None, 0, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 3.482994556427002, 0.219248
roadNet-CA ENABLED, WM, None, 0, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.25998711585998535, 0.003692
youtube-u-growth DISABLED, CM, None, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.5723087787628174, 0.031428
dblp_coauthor DISABLED, CM, None, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.5303664207458496, 0.02047
soc-LiveJournal1 DISABLED, CM, None, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 2.2734012603759766, 0.148832
orkut-links DISABLED, CM, None, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 3.369783401489258, 0.205173
roadNet-CA DISABLED, CM, None, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.2534153461456299, 0.003893
youtube-u-growth ENABLED, TWC, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.5198559761047363, 0.025047
dblp_coauthor ENABLED, TWC, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.5528345108032227, 0.023154
soc-LiveJournal1 ENABLED, TWC, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 2.4006149768829346, 0.155815
orkut-links ENABLED, TWC, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 2.8532493114471436, 0.160763
roadNet-CA ENABLED, TWC, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.2962226867675781, 0.00536
youtube-u-growth DISABLED, VERTEX_BASED, None, 0, PULL, ENABLED, FUSED, BITMAP, 4.298469066619873, 0.338629
dblp_coauthor DISABLED, VERTEX_BASED, None, 0, PULL, ENABLED, FUSED, BITMAP, 2.3073971271514893, 0.031016
soc-LiveJournal1 DISABLED, VERTEX_BASED, None, 0, PULL, ENABLED, FUSED, BITMAP, 9.913193464279175, 0.197485
orkut-links DISABLED, VERTEX_BASED, None, 0, PULL, ENABLED, FUSED, BITMAP, 18.69711136817932, 0.185367
roadNet-CA DISABLED, VERTEX_BASED, None, 0, PULL, ENABLED, FUSED, BITMAP, 0.32338643074035645, 0.003568
youtube-u-growth DISABLED, TWCE, None, 0, PUSH, ENABLED, FUSED, None, 0.4784374237060547, 0.021845
dblp_coauthor DISABLED, TWCE, None, 0, PUSH, ENABLED, FUSED, None, 0.5183463096618652, 0.021695
soc-LiveJournal1 DISABLED, TWCE, None, 0, PUSH, ENABLED, FUSED, None, 2.1865148544311523, 0.137894
orkut-links DISABLED, TWCE, None, 0, PUSH, ENABLED, FUSED, None, 2.940980911254883, 0.163515
