orkut-links DISABLED, WM, None, 0, PUSH, ENABLED, FUSED, None, 1.457735538482666, 0.013021
roadNet-CA DISABLED, WM, None, 0, PUSH, ENABLED, FUSED, None, 0.22605681419372559, 0.001454
youtube-u-growth ENABLED, TWC, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 1.0490920543670654, 0.000725
dblp_coauthor ENABLED, TWC, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 1.8510119915008545, 0.01072
soc-LiveJournal1 ENABLED, TWC, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 8.957913398742676, 0.032568
orkut-links ENABLED, TWC, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 15.14659333229065, 0.003525
roadNet-CA ENABLED, TWC, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BITMAP, 0.35965585708618164, 0.000301
youtube-u-growth ENABLED, WM, None, 0, PUSH, DISABLED, FUSED, None, 0.4024193286895752, 0.010823
dblp_coauthor ENABLED, WM, None, 0, PUSH, DISABLED, FUSED, None, 0.36025166511535645, 0.004001
soc-LiveJournal1 ENABLED, WM, None, 0, PUSH, DISABLED, FUSED, None, 0.9517831802368164, 0.009598
orkut-links ENABLED, WM, None, 0, PUSH, DISABLED, FUSED, None, 1.4441406726837158, 0.016672
roadNet-CA ENABLED, WM, None, 0, PUSH, DISABLED, FUSED, None, 0.22237277030944824, 0.000585
youtube-u-growth ENABLED, CM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.9084620475769043, 0.001275
dblp_coauthor ENABLED, CM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 1.8477942943572998, 0.011355
soc-LiveJournal1 ENABLED, CM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 8.111953020095825, 0.025103
orkut-links ENABLED, CM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 15.25376296043396, 0.003918
roadNet-CA ENABLED, CM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.3027915954589844, 0.000249
youtube-u-growth DISABLED, TWC, None, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.3238809108734131, 0.003657
dblp_coauthor DISABLED, TWC, None, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.350266695022583, 0.002758
soc-LiveJournal1 DISABLED, TWC, None, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.8894965648651123, 0.007467
orkut-links DISABLED, TWC, None, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 1.2791378498077393, 0.006117
roadNet-CA DISABLED, TWC, None, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.23784399032592773, 0.002336
youtube-u-growth DISABLED, WM, None, 0, PUSH, DISABLED, FUSED, None, 0.39756226539611816, 0.010147
dblp_coauthor DISABLED, WM, None, 0, PUSH, DISABLED, FUSED, None, 0.36407899856567383, 0.003651
soc-LiveJournal1 DISABLED, WM, None, 0, PUSH, DISABLED, FUSED, None, 0.8874258995056152, 0.008193
orkut-links DISABLED, WM, None, 0, PUSH, DISABLED, FUSED, None, 1.3575267791748047, 0.012309
roadNet-CA DISABLED, WM, None, 0, PUSH, DISABLED, FUSED, None, 0.2541530132293701, 0.001282
youtube-u-growth ENABLED, WM, None, 0, PULL, ENABLED, UNFUSED_BITMAP, BITMAP, 0.9623477458953857, 0.003766
dblp_coauthor ENABLED, WM, None, 0, PULL, ENABLED, UNFUSED_BITMAP, BITMAP, 1.8431992530822754, 0.012595
soc-LiveJournal1 ENABLED, WM, None, 0, PULL, ENABLED, UNFUSED_BITMAP, BITMAP, 8.377547264099121, 0.040234
orkut-links ENABLED, WM, None, 0, PULL, ENABLED, UNFUSED_BITMAP, BITMAP, 15.299077987670898, 0.00532
roadNet-CA ENABLED, WM, None, 0, PULL, ENABLED, UNFUSED_BITMAP, BITMAP, 0.2961299419403076, 0.000208
youtube-u-growth ENABLED, CM, None, 0, PULL, DISABLED, FUSED, BITMAP, 1.11497163772583, 0.001282
dblp_coauthor ENABLED, CM, None, 0, PULL, DISABLED, FUSED, BITMAP, 1.8882720470428467, 0.009841
soc-LiveJournal1 ENABLED, CM, None, 0, PULL, DISABLED, FUSED, BITMAP, 8.136340618133545, 0.024827
orkut-links ENABLED, CM, None, 0, PULL, DISABLED, FUSED, BITMAP, 15.04832410812378, 0.004485
roadNet-CA ENABLED, CM, None, 0, PULL, DISABLED, FUSED, BITMAP, 0.3090217113494873, 0.000247
youtube-u-growth ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 1.5088207721710205, 0.120917
dblp_coauthor ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 0.4773273468017578, 0.012917
soc-LiveJournal1 ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 1.3985633850097656, 0.050628
orkut-links ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 2.425168991088867, 0.111234
roadNet-CA ENABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, FUSED, None, 0.2507619857788086, 0.000646
youtube-u-growth ENABLED, CM, None, 0, PULL, ENABLED, UNFUSED_BOOLMAP, BITMAP, 0.9196090698242188, 0.001293
