DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 11, 0.7257256507873535
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 12, 0.6767239570617676
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 13, 0.7226729393005371
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 14, 0.7095015048980713
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 15, 0.5883023738861084
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 16, 0.3329639434814453
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 17, 0.7141914367675781
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 18, 0.7027926445007324
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 19, 0.7989101409912109
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 20, 0.7204971313476562
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 21, 0.7640659809112549
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 22, 0.7095410823822021
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 23, 0.7228567600250244
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 24, 0.7792553901672363
DensePull-SparsePush, serial, bitvector, eager_priority_update, false, 1, 1.2514069080352783
DensePull-SparsePush, serial, bitvector, eager_priority_update_with_merge, false, 1, 0.9796288013458252
DensePull-SparsePush, serial, boolean-array, eager_priority_update, false, 1, 1.2678306102752686
DensePull-SparsePush, serial, boolean-array, eager_priority_update_with_merge, false, 1, 0.9596638679504395
DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update, false, 1, 1.5095982551574707
DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, false, 1, 1.2318358421325684
DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update, false, 1, 1.5260400772094727
DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, false, 1, 0.9742727279663086
DensePush-SparsePush, serial, bitvector, eager_priority_update, false, 1, 1.284013271331787
DensePush-SparsePush, serial, bitvector, eager_priority_update_with_merge, false, 1, 0.9670469760894775
DensePush-SparsePush, serial, boolean-array, eager_priority_update, false, 1, 0.6770715713500977
DensePush-SparsePush, serial, boolean-array, eager_priority_update_with_merge, false, 1, 0.9995319843292236
DensePush-SparsePush, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update, false, 1, 1.526287317276001
DensePush-SparsePush, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, false, 1, 1.1616103649139404
DensePush-SparsePush, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update, false, 1, 1.4827485084533691
DensePush-SparsePush, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, false, 1, 1.2481679916381836
SparsePush, serial, bitvector, eager_priority_update, false, 1, 5.452868461608887
SparsePush, serial, bitvector, eager_priority_update_with_merge, false, 1, 5.359942197799683
SparsePush, serial, boolean-array, eager_priority_update, false, 1, 0.860353946685791
SparsePush, serial, boolean-array, eager_priority_update_with_merge, false, 1, 1.2240104675292969
SparsePush, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update, false, 1, 1.0155129432678223
SparsePush, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, false, 1, 1.179353952407837
SparsePush, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update, false, 1, 1.4764411449432373
SparsePush, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, false, 1, 0.9664697647094727
DensePush, serial, bitvector, eager_priority_update, false, 1, 0.3201160430908203
DensePush, serial, boolean-array, eager_priority_update, false, 1, 1.2860071659088135
DensePush, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update, false, 1, 1.6121606826782227
DensePush, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update, false, 1, 1.7840919494628906
DensePull, serial, bitvector, eager_priority_update, false, 1, 1.1800003051757812
DensePull, serial, bitvector, eager_priority_update, static-parallel, 1, 1.3252110481262207
DensePull, serial, bitvector, eager_priority_update, static-parallel, 1, 0.8813819885253906
DensePull, serial, bitvector, eager_priority_update, dynamic-parallel, 1, 1.6013875007629395
DensePull, serial, bitvector, eager_priority_update_with_merge, false, 1, 1.7532715797424316
DensePull, serial, bitvector, eager_priority_update_with_merge, false, 2, 1.12723708152771
DensePull, serial, bitvector, eager_priority_update_with_merge, false, 3, 1.4091265201568604
DensePull, serial, bitvector, eager_priority_update_with_merge, false, 4, 1.113163948059082
DensePull, serial, bitvector, eager_priority_update_with_merge, false, 5, 0.9820766448974609
DensePull, serial, bitvector, eager_priority_update_with_merge, false, 6, 0.9119868278503418
DensePull, serial, bitvector, eager_priority_update_with_merge, false, 7, 1.3779211044311523
DensePull, serial, bitvector, eager_priority_update_with_merge, false, 8, 1.4615106582641602
DensePull, serial, bitvector, eager_priority_update_with_merge, false, 9, 0.8667323589324951
DensePull, serial, bitvector, eager_priority_update_with_merge, false, 10, 1.4206361770629883
DensePull, serial, bitvector, eager_priority_update_with_merge, false, 11, 0.9853489398956299
